AlphabetSize,TextSize,PatternSize,UniversalSymbolsAmount,Comparisons,TimeNs
2,10000,100,0,34600,964576
2,10000,100,1,68908,2197555
2,10000,100,2,102804,3007007
2,10000,100,3,136949,3957905
2,10000,100,4,168445,5869029
2,10000,200,0,35158,1083911
2,10000,200,1,70217,2071238
2,10000,200,2,103146,2945799
2,10000,200,3,137657,3943989
2,10000,200,4,165740,6791416
2,10000,300,0,34514,982592
2,10000,300,1,68297,1962361
2,10000,300,2,101796,3043843
2,10000,300,3,136601,3927436
2,10000,300,4,171926,4885382
2,10000,400,0,34776,1017508
2,10000,400,1,69782,2035440
2,10000,400,2,104072,3017613
2,10000,400,3,137472,4501067
2,10000,400,4,171372,5395623
2,10000,500,0,35191,1056715
2,10000,500,1,69161,2288308
2,10000,500,2,104329,3747427
2,10000,500,3,137962,4052604
2,10000,500,4,169873,5061315
2,10000,600,0,35793,1066248
2,10000,600,1,70725,2071307
2,10000,600,2,104393,3339019
2,10000,600,3,137736,4045893
2,10000,600,4,174862,5274557
2,10000,700,0,37136,1101019
2,10000,700,1,67188,2014140
2,10000,700,2,104539,3016426
2,10000,700,3,141753,4054007
2,10000,700,4,169665,4852290
2,10000,800,0,35794,1059450
2,10000,800,1,69189,2052332
2,10000,800,2,105195,4126430
2,10000,800,3,137429,4031367
2,10000,800,4,173515,5146503
2,10000,900,0,36230,1051430
2,10000,900,1,70462,2128961
2,10000,900,2,105870,3154508
2,10000,900,3,139286,4168239
2,10000,900,4,174078,5170309
2,10000,1000,0,36671,1068636
2,10000,1000,1,70188,2020997
2,10000,1000,2,105866,3054835
2,10000,1000,3,139904,4254282
2,10000,1000,4,172418,5210792
2,10000,1100,0,37513,1124139
2,10000,1100,1,71757,2115901
2,10000,1100,2,105297,3289370
2,10000,1100,3,138851,4062520
2,10000,1100,4,173726,5116422
2,10000,1200,0,37349,1092844
2,10000,1200,1,67538,2069904
2,10000,1200,2,98158,2673118
2,10000,1200,3,132613,3544442
2,10000,1200,4,165662,4453085
2,10000,1300,0,37588,1111034
2,10000,1300,1,71200,2047064
2,10000,1300,2,106778,3080067
2,10000,1300,3,138767,4411931
2,10000,1300,4,175635,5222569
2,10000,1400,0,38513,1209365
2,10000,1400,1,68712,1860629
2,10000,1400,2,103669,2754621
2,10000,1400,3,137617,3836811
2,10000,1400,4,163134,4316900
2,10000,1500,0,38718,1123315
2,10000,1500,1,69164,1859371
2,10000,1500,2,99400,2607645
2,10000,1500,3,130029,3289253
2,10000,1500,4,159470,4083295
2,10000,1600,0,38402,1125371
2,10000,1600,1,73396,2262265
2,10000,1600,2,99411,2951801
2,10000,1600,3,129635,3361155
2,10000,1600,4,163775,7820117
2,10000,1700,0,39363,1550515
2,10000,1700,1,74221,2461265
2,10000,1700,2,109022,3345458
2,10000,1700,3,141102,4327808
2,10000,1700,4,176482,6397334
2,10000,1800,0,39786,1349926
2,10000,1800,1,73376,2664827
2,10000,1800,2,108481,3442091
2,10000,1800,3,142499,4966937
2,10000,1800,4,175849,7066086
2,10000,1900,0,39680,1247259
2,10000,1900,1,73404,2181914
2,10000,1900,2,108389,3867670
2,10000,1900,3,143553,5584396
2,10000,1900,4,175437,5534977
2,10000,2000,0,39693,1475896
2,10000,2000,1,73412,2434357
2,10000,2000,2,107289,4503543
2,10000,2000,3,142030,5251520
2,10000,2000,4,176369,6245240
2,10000,2100,0,41070,1193620
2,10000,2100,1,72296,2321123
2,10000,2100,2,101901,3186406
2,10000,2100,3,132448,4113542
2,10000,2100,4,162041,4295977
2,10000,2200,0,41161,1249039
2,10000,2200,1,75469,2199771
2,10000,2200,2,109409,3513987
2,10000,2200,3,143825,5106965
2,10000,2200,4,172694,6826913
2,10000,2300,0,41647,1274392
2,10000,2300,1,72645,1952617
2,10000,2300,2,106742,2956982
2,10000,2300,3,135572,3747001
2,10000,2300,4,162808,4580369
2,10000,2400,0,41177,1575414
2,10000,2400,1,74835,2565566
2,10000,2400,2,109594,3348195
2,10000,2400,3,141846,4243040
2,10000,2400,4,177778,5738030
2,10000,2500,0,42249,1231912
2,10000,2500,1,77033,2306883
2,10000,2500,2,110104,3394775
2,10000,2500,3,144674,4346756
2,10000,2500,4,175704,5212037
2,10000,2600,0,42793,1296129
2,10000,2600,1,76722,2468604
2,10000,2600,2,110592,4314470
2,10000,2600,3,146708,5330792
2,10000,2600,4,179492,5293358
2,10000,2700,0,43046,1266699
2,10000,2700,1,77799,2351930
2,10000,2700,2,110288,3556350
2,10000,2700,3,137544,3956812
2,10000,2700,4,179732,5320649
2,10000,2800,0,42474,1247907
2,10000,2800,1,76038,2537510
2,10000,2800,2,110247,3259328
2,10000,2800,3,146680,4190364
2,10000,2800,4,178971,5247965
2,10000,2900,0,42535,1339286
2,10000,2900,1,75958,3154975
2,10000,2900,2,107217,2996255
2,10000,2900,3,133759,3411312
2,10000,2900,4,167848,4882528
2,10000,3000,0,42398,1293218
2,10000,3000,1,77010,2320752
2,10000,3000,2,110316,3283468
2,10000,3000,3,144822,4783825
2,10000,3000,4,177758,5325332
4,10000,100,0,32827,831092
4,10000,100,1,65187,1693150
4,10000,100,2,97788,2493120
4,10000,100,3,130096,3288933
4,10000,100,4,162729,4302458
4,10000,200,0,32873,832187
4,10000,200,1,65298,1651112
4,10000,200,2,97918,2496174
4,10000,200,3,130351,3282357
4,10000,200,4,160270,4968448
4,10000,300,0,33319,846063
4,10000,300,1,65841,1900051
4,10000,300,2,98212,2507094
4,10000,300,3,130820,3379936
4,10000,300,4,163273,4262661
4,10000,400,0,33627,881088
4,10000,400,1,66151,1774532
4,10000,400,2,98574,2534296
4,10000,400,3,130908,3369269
4,10000,400,4,163054,4134308
4,10000,500,0,33990,871623
4,10000,500,1,66511,1744553
4,10000,500,2,96365,4634268
4,10000,500,3,131102,3339781
4,10000,500,4,163846,4227774
4,10000,600,0,34283,909816
4,10000,600,1,66822,1755918
4,10000,600,2,99316,2553127
4,10000,600,3,131785,3348209
4,10000,600,4,164222,4309641
4,10000,700,0,34527,926357
4,10000,700,1,66867,1771568
4,10000,700,2,97176,2554922
4,10000,700,3,127199,3124560
4,10000,700,4,154783,3823419
4,10000,800,0,34926,945493
4,10000,800,1,67355,1923434
4,10000,800,2,99909,2727410
4,10000,800,3,132133,3442567
4,10000,800,4,164385,4373552
4,10000,900,0,35070,893456
4,10000,900,1,65136,1639370
4,10000,900,2,100118,2579859
4,10000,900,3,132499,3426892
4,10000,900,4,159982,3961620
4,10000,1000,0,35544,926035
4,10000,1000,1,68051,1776359
4,10000,1000,2,100314,2612079
4,10000,1000,3,132728,3381072
4,10000,1000,4,165289,4230169
4,10000,1100,0,35845,964200
4,10000,1100,1,68199,1763161
4,10000,1100,2,100582,2600034
4,10000,1100,3,133009,3412707
4,10000,1100,4,165715,4610060
4,10000,1200,0,36126,937124
4,10000,1200,1,68627,2122747
4,10000,1200,2,98745,2509763
4,10000,1200,3,131377,5734951
4,10000,1200,4,161256,4235916
4,10000,1300,0,36400,927267
4,10000,1300,1,68892,1799517
4,10000,1300,2,101295,2570209
4,10000,1300,3,131571,3327574
4,10000,1300,4,164100,4140047
4,10000,1400,0,36725,1015630
4,10000,1400,1,69143,1780481
