AlphabetSize,TextSize,PatternSize,UniversalSymbolsAmount,Comparisons,TimeNs
2,10000,100,0,44946,1584018
2,10000,100,1,88321,3064824
2,10000,100,2,133416,4636272
2,10000,100,3,177627,6178105
2,10000,100,4,221127,8019902
2,10000,200,0,44364,1536703
2,10000,200,1,88048,3058151
2,10000,200,2,131680,4593837
2,10000,200,3,175842,6130317
2,10000,200,4,221637,7577607
2,10000,300,0,44830,1532261
2,10000,300,1,89435,3065343
2,10000,300,2,133056,4581880
2,10000,300,3,175921,6057434
2,10000,300,4,223546,7746893
2,10000,400,0,45052,1595098
2,10000,400,1,88797,3092436
2,10000,400,2,133073,4583284
2,10000,400,3,177373,6165833
2,10000,400,4,221043,7658803
2,10000,500,0,46560,1603679
2,10000,500,1,91167,3137378
2,10000,500,2,134678,4641227
2,10000,500,3,174216,6636201
2,10000,500,4,222190,7758709
2,10000,600,0,47411,1629840
2,10000,600,1,91097,3113889
2,10000,600,2,131102,4275392
2,10000,600,3,177878,6088382
2,10000,600,4,215141,7003038
2,10000,700,0,46343,1574229
2,10000,700,1,89777,3095424
2,10000,700,2,134971,5031031
2,10000,700,3,179685,6444721
2,10000,700,4,222505,7699972
2,10000,800,0,47965,1674153
2,10000,800,1,92334,3258638
2,10000,800,2,135424,4768990
2,10000,800,3,180359,6370274
2,10000,800,4,224113,7877845
2,10000,900,0,47037,1838090
2,10000,900,1,91180,3221056
2,10000,900,2,135637,4731342
2,10000,900,3,180472,6816030
2,10000,900,4,225004,9578021
2,10000,1000,0,48769,2152069
2,10000,1000,1,93332,3207587
2,10000,1000,2,137801,5272408
2,10000,1000,3,181297,7788954
2,10000,1000,4,225098,7757093
2,10000,1100,0,48098,1723735
2,10000,1100,1,93102,3652082
2,10000,1100,2,136674,6978790
2,10000,1100,3,179519,7221902
2,10000,1100,4,224539,8328477
2,10000,1200,0,48322,1908759
2,10000,1200,1,92027,3691469
2,10000,1200,2,135680,5357767
2,10000,1200,3,181498,6932121
2,10000,1200,4,224977,8920311
