AlphabetSize,TextSize,PatternSize,UniversalSymbolsAmount,Comparisons,TimeNs
2,10000,100,0,29920,1421046
2,10000,100,1,29921,1402111
2,10000,100,2,29922,1576562
2,10000,100,3,29923,1417339
2,10000,100,4,30053,1424220
4,10000,100,0,23176,989540
4,10000,100,1,23177,972060
4,10000,100,2,23178,992708
4,10000,100,3,23181,1022416
4,10000,100,4,23180,993429
2,100000,100,0,298855,14221154
2,100000,100,1,298856,13999580
2,100000,100,2,299055,13880203
2,100000,100,3,300313,14239485
2,100000,100,4,299585,14037011
4,100000,100,0,233131,10078124
4,100000,100,1,233132,9844337
4,100000,100,2,233133,9971739
4,100000,100,3,233134,9898661
4,100000,100,4,233135,10407603
